1.png, 3 + 4 =
2.png, 8 - 5 =
3.png, 6 * 2 =
4.png, 9 ÷ 3 =
5.png, 7 + 2 =
6.png, 10 - 4 =
7.png, 5 * 3 =
8.png, 12 ÷ 4 =
9.png, 2 + 6 =
10.png, 8 - 1 =
11.png, 12 + 7 =
12.png, 25 + 13 =
13.png, 48 + 36 =
14.png, 102 + 59 =
15.png, 523 + 178 =
16.png, 18 - 9 =
17.png, 42 - 27 =
18.png, 300 - 123 =
19.png, 892 - 456 =
20.png, 6 * 7 =
21.png, 8 * 9 =
22.png, 15 * 4 =
23.png, 32 * 5 =
24.png, 123 * 3 =
25.png, 81 ÷ 9 =
26.png, 72 ÷ 8 =
27.png, 144 ÷ 12 =
28.png, 300 ÷ 15 =
29.png, 980 ÷ 14 =
30.png, 5 + 4 * 2 =
31.png, ( 8 + 4 ) ÷ 2 =
32.png, 3 * (7 - 2) =
33.png, 9 + 12 ÷ 3 =
34.png, (25 - 3) * 2 =
35.png, 3 * 3 * 3 =
36.png, 4 * 4 * 2 - 3 =
37.png, 0.5 + 0.3 =
38.png, 2.7 - 1.4 =
39.png, 3.6 + 2 =
40.png, 7.2 + 1.2
41.png, 5.5 + 2.5
42.png, (10 + 5 ) * 2 - 6 =
43.png, 3 * (4 + 6) ÷ 2 =
44.png, 50 ÷ (5 + 5) * 4 =
45.png, (20 - 8 ) * 3 + 5 =
46.png, 100 - (25 + 15) * 2 =
47.png, 14 + 7 =
48.png, 55 - 23 =
49.png, 8 * 6 =
50.png, 64 ÷ 8 =
51.png, (12 + 6 ) * 2 =
52.png, 125 ÷ (5 * 5) =
53.png, 9 * 9 - 20 =
54.png, 20 ÷ 50 + 8 =
55.png, (18 - 3) * 4 =
56.png, (10 * 2 ) - (3 * 4) =
57.png, (9 + 1) - (9 - 1) =
58.png, 4 * (3 + 5) - 7 =
59.png, 8 * (7 - 3) =
